time,roll_cmd,roll_actual,pitch_cmd,pitch_actual
67.087,-0.36382395035908066,-0.3692572637472369,0.0,0.004938252735364814
67.123,-0.27257394138372226,-0.3721327309221306,0.0,0.00431902917630871
67.155,-0.19366125170107854,-0.35716833395695713,0.0,0.0038688982752039754
67.187,-0.10852964991164707,-0.345962184515763,0.0,0.0035044330208093464
67.223,0.009947982093619129,-0.30131474094551525,0.0,0.0030838459690772373
67.255,0.09885433348547859,-0.235396309964727,0.0,0.0029016486222649346
67.287,0.18463683815736925,-0.19572364156010572,0.0,0.0028405901839772293
67.323,0.28941882075881903,-0.10944532976928498,0.0,0.002988441142483671
67.355,0.3575292887100466,-0.017767081371919055,0.0,0.0034891922297055774
67.387,0.4141868093203915,0.02800059484275792,0.0,0.0037619076273536227
67.423,0.46879785593983303,0.12447480411452959,0.0,0.003978647956351456
67.455,0.4923233514387693,0.1955797602171845,0.0,0.004062832701817695
67.487,0.4999953452495306,0.2324568373682328,0.0,0.004045304369907965
67.523,0.48517227944819796,0.2932520586970197,0.0,0.0038651896385140903
67.555,0.4557016383211481,0.34041398162099856,0.0,0.003600495750421002
67.587,0.41148675059781603,0.3599693658198594,0.0,0.003465772037337759
67.623,0.3320986247484471,0.38859895905430814,0.0,0.0032384633642205834
67.655,0.25970735808873796,0.3846590113820987,0.0,0.0031892918699278046
67.687,0.17886106529846296,0.37378478946105476,0.0,0.0031413826838944604
67.723,0.06245856353299158,0.3333150743508876,0.0,0.0031271017568141224
67.755,-0.027631930890010137,0.26701160680410124,0.0,0.003468629600201891
67.787,-0.11686548832387647,0.23702644276976131,0.0,0.003592518637590482
67.823,-0.22950179764459072,0.1542781114380862,0.0,0.0042697356954629695
67.855,-0.3056461262549983,0.06709356868541369,0.0,0.004969802910719223
67.887,-0.37185274209613156,0.0240425430458241,0.0,0.005292851202778534
67.923,-0.4409632237823939,-0.062498471618744424,0.0,0.005702123453316623
67.955,-0.4762032204146894,-0.1430824569091236,0.0,0.005872917004514001
67.987,-0.4958728467750921,-0.18122400797940405,0.0,0.005855529690435363
68.023,-0.4968032616098409,-0.2488883740506889,0.0,0.00570232012738169
68.055,-0.4784701678686251,-0.3146309541219133,0.0,0.005148265558136997
