Topic,Message,Time
/mavros/imu/data,"header: 
  seq: 250
  stamp: 
    secs: 9
    nsecs: 195000000
  frame_id: ""base_link""
orientation: 
  x: -0.00017400350202781718
  y: 0.0002070260697516823
  z: 0.0024003894632409484
  w: -0.9999970747531817
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 6.902666063979268e-05
  y: -0.0015949723310768606
  z: -0.0018813931383192537
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.06105215102434158
  y: 0.043095465749503375
  z: 9.756096839904785
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9195000000
/mavros/local_position/pose,"header: 
  seq: 102
  stamp: 
    secs: 9
    nsecs: 211000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0026910528540611267
    y: -0.006657190155237913
    z: -0.03471598029136658
  orientation: 
    x: -0.00017400350202781718
    y: 0.0002070260697516823
    z: 0.0024003894632409484
    w: -0.9999970747531817",9211000000
/mavros/imu/data,"header: 
  seq: 251
  stamp: 
    secs: 9
    nsecs: 215000000
  frame_id: ""base_link""
orientation: 
  x: -0.00013380510278662093
  y: 0.00018729465501970494
  z: 0.0024087345392462267
  w: -0.9999970747531817
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: -0.0036126745399087667
  y: -0.0012176705058664081
  z: 0.001974985469132662
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.07062895596027374
  y: 0.013167940080167065
  z: 9.811162948608398
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9215000000
/mavros/imu/data,"header: 
  seq: 252
  stamp: 
    secs: 9
    nsecs: 235000000
  frame_id: ""base_link""
orientation: 
  x: -7.474792459751149e-05
  y: 0.00017946496983766837
  z: 0.0024239495515586684
  w: -0.9999971169000302
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: -0.0037208835128694773
  y: -0.0025066083762794733
  z: -0.0013352781534194944
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.0
  y: -0.004788575228302469
  z: 9.81954288482666
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9235000000
/mavros/local_position/pose,"header: 
  seq: 103
  stamp: 
    secs: 9
    nsecs: 247000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0022628260776400566
    y: -0.006623685825616121
    z: -0.034928519278764725
  orientation: 
    x: -7.474792459751149e-05
    y: 0.00017946496983766837
    z: 0.0024239495515586684
    w: -0.9999971169000302",9247000000
/mavros/imu/data,"header: 
  seq: 253
  stamp: 
    secs: 9
    nsecs: 255000000
  frame_id: ""base_link""
orientation: 
  x: -5.5395652717588015e-05
  y: 0.00016995364752302674
  z: 0.002447088171391054
  w: -0.9999969904594848
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: -0.0034834358375519514
  y: 0.001290904590860009
  z: -0.0010811426909640434
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.040701426565647125
  y: 0.016759244725109344
  z: 9.76327896118164
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9255000000
/mavros/imu/data,"header: 
  seq: 254
  stamp: 
    secs: 9
    nsecs: 275000000
  frame_id: ""base_link""
orientation: 
  x: -8.704727997720096e-05
  y: 0.00013344688029879532
  z: 0.002481817174564138
  w: -0.9999969061657876
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.0031439887825399637
  y: 0.0021642495412379503
  z: 0.0006543389754369853
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.014365211129188538
  y: 0.007182435132564317
  z: 9.821937561035156
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9275000000
/mavros/local_position/pose,"header: 
  seq: 104
  stamp: 
    secs: 9
    nsecs: 279000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0017976174131035805
    y: -0.006568790879100561
    z: -0.03537973761558533
  orientation: 
    x: -8.704727997720096e-05
    y: 0.00013344688029879532
    z: 0.002481817174564138
    w: -0.9999969061657876",9279000000
/mavros/imu/data,"header: 
  seq: 255
  stamp: 
    secs: 9
    nsecs: 295000000
  frame_id: ""base_link""
orientation: 
  x: -7.77011185672098e-05
  y: 0.00014033502433274099
  z: 0.002493913320086749
  w: -0.9999968640189392
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: -0.0015752905746921897
  y: 0.00017157456022687216
  z: -0.003317906055599451
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.05027824267745018
  y: 0.03950415551662565
  z: 9.781235694885254
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9295000000
/mavros/local_position/pose,"header: 
  seq: 105
  stamp: 
    secs: 9
    nsecs: 311000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0014679132727906108
    y: -0.006538970861583948
    z: -0.03586476668715477
  orientation: 
    x: -7.77011185672098e-05
    y: 0.00014033502433274099
    z: 0.002493913320086749
    w: -0.9999968640189392",9311000000
/mavros/imu/data,"header: 
  seq: 256
  stamp: 
    secs: 9
    nsecs: 315000000
  frame_id: ""base_link""
orientation: 
  x: -5.253830012575659e-05
  y: 0.0001296957413254597
  z: 0.002536102315446098
  w: -0.9999968218720906
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.004208366386592388
  y: 0.0034286859445273868
  z: -0.00836825929582119
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.02513912133872509
  y: -0.014365382492541063
  z: 9.824333190917969
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9315000000
/mavros/imu/data,"header: 
  seq: 257
  stamp: 
    secs: 9
    nsecs: 335000000
  frame_id: ""base_link""
orientation: 
  x: -4.1849415340338876e-05
  y: 0.00012316721661410177
  z: 0.0025981846233025796
  w: -0.9999966954315451
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.00022857314615976065
  y: 0.001181022496894002
  z: 0.0002861713292077182
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.015562310814857483
  y: -0.035913195461033574
  z: 9.790812492370605
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9335000000
/mavros/local_position/pose,"header: 
  seq: 106
  stamp: 
    secs: 9
    nsecs: 347000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0011360528878867626
    y: -0.00653395801782608
    z: -0.03638094663619995
  orientation: 
    x: -4.1849415340338876e-05
    y: 0.00012316721661410177
    z: 0.0025981846233025796
    w: -0.9999966954315451",9347000000
/mavros/imu/data,"header: 
  seq: 258
  stamp: 
    secs: 9
    nsecs: 355000000
  frame_id: ""base_link""
orientation: 
  x: -4.987699571946369e-05
  y: 0.00012103121206782291
  z: 0.0026421859331480224
  w: -0.9999965268441511
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.0002284815564053133
  y: -0.0021059240680187945
  z: -0.0038504833355545993
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.011971008032560349
  y: 0.02513894997537256
  z: 9.800389289855957
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9355000000
/mavros/imu/data,"header: 
  seq: 259
  stamp: 
    secs: 9
    nsecs: 375000000
  frame_id: ""base_link""
orientation: 
  x: -3.886691614003534e-05
  y: 9.52206482193421e-05
  z: 0.002687662382691247
  w: -0.9999964004036055
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: -0.0021196380257606506
  y: 0.0018332360778003922
  z: -0.006954973563551903
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.009576808661222458
  y: 0.007182434666903025
  z: 9.781235694885254
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9375000000
/mavros/local_position/pose,"header: 
  seq: 107
  stamp: 
    secs: 9
    nsecs: 379000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0008016607607714832
    y: -0.006521120667457581
    z: -0.03715875744819641
  orientation: 
    x: -3.886691614003534e-05
    y: 9.52206482193421e-05
    z: 0.002687662382691247
    w: -0.9999964004036055",9379000000
/mavros/imu/data,"header: 
  seq: 260
  stamp: 
    secs: 9
    nsecs: 395000000
  frame_id: ""base_link""
orientation: 
  x: -1.28299055886299e-05
  y: 6.983053416993443e-05
  z: 0.002762093717161518
  w: -0.9999962318162114
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.0010996769415214658
  y: 0.0025157327763736244
  z: -0.003687142860144377
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: -0.037110134959220886
  y: 0.003591132350267173
  z: 9.74173355102539
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9395000000
/mavros/local_position/pose,"header: 
  seq: 108
  stamp: 
    secs: 9
    nsecs: 411000000
  frame_id: ""map""
pose: 
  position: 
    x: -0.0005072534549981356
    y: -0.006464150734245777
    z: -0.03755030408501625
  orientation: 
    x: -1.28299055886299e-05
    y: 6.983053416993443e-05
    z: 0.002762093717161518
    w: -0.9999962318162114",9411000000
/mavros/imu/data,"header: 
  seq: 261
  stamp: 
    secs: 9
    nsecs: 415000000
  frame_id: ""base_link""
orientation: 
  x: -3.760670890594691e-05
  y: 9.069690019885006e-05
  z: 0.002761756542373428
  w: -0.9999962318162114
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.003731620730832219
  y: -0.003464955138042569
  z: 0.0001473912270739679
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.04908113554120064
  y: 0.06344617903232694
  z: 9.744125366210938
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9415000000
/mavros/imu/data,"header: 
  seq: 262
  stamp: 
    secs: 9
    nsecs: 435000000
  frame_id: ""base_link""
orientation: 
  x: -5.205031382201737e-05
  y: 5.917412868389064e-05
  z: 0.0027906692804519073
  w: -0.9999961475225144
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: 0.00013951964501757175
  y: 0.0011663092300295821
  z: -0.0073947180062532425
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.0
  y: 0.016759244725109347
  z: 9.792009353637695
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9435000000
/mavros/local_position/pose,"header: 
  seq: 109
  stamp: 
    secs: 9
    nsecs: 447000000
  frame_id: ""map""
pose: 
  position: 
    x: -2.1194617147557437e-05
    y: -0.006333702709525824
    z: -0.03751837834715843
  orientation: 
    x: -5.205031382201737e-05
    y: 5.917412868389064e-05
    z: 0.0027906692804519073
    w: -0.9999961475225144",9447000000
/mavros/imu/data,"header: 
  seq: 263
  stamp: 
    secs: 9
    nsecs: 455000000
  frame_id: ""base_link""
orientation: 
  x: -8.087700605062515e-05
  y: 3.722454472384084e-05
  z: 0.002829275793687913
  w: -0.9999959789351205
orientation_covariance: [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
angular_velocity: 
  x: -0.0011885988060384989
  y: 0.0012522359611466527
  z: 0.0002259962493553756
angular_velocity_covariance: [1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]
linear_acceleration: 
  x: 0.037110134959220886
  y: -0.010774077847598791
  z: 9.72736644744873
linear_acceleration_covariance: [8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]",9455000000
